№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
1503,1921-АЕ              04.07.08г.-             04.07.10г.       Бл.№00818,Месторождение Кумбель ,"ОсОО ""Рокизол""","Нарынская обл.,          Нарынский р-н",№5 25.04.11г-01.07.11г,россыпное золото и вольфрам,Е,1200,К-43-80,Протокол переговоров       №1078-Н-08 от 04.07.08г.    ,"г. Бишкек, ул. Чуйкова, 19, кв.34. Директор   Кимаковский А.И.",Кимаковский И.А.          (Россия),,,,Перв.РОК       1299002790025971               кв.3006 от 20.06.08г.         ,,,,,Аннулирована. Протокол № 189-АН-11 05 октября 2011 года,,,,,,,,,,,
1504,1922-АЕ              04.07.08г.-             04.07.10г.       Бл.№00819,Месторождение Сарыджель,"ОсОО ""Рокизол""","Нарынская обл.,          Нарынский р-н",№5 25.04.11г-01.07.11г,россыпное золото и вольфрам,Е,1952,К-43-80,Протокол переговоров       №1078-Н-08 от 04.07.08г.    ,"г. Бишкек, ул. Чуйкова, 19, кв.34. Директор    Кимаковский А.И.","Кимаковский И.А.          (Россия)-20% и ОсОО ""Алмазинтехконсультации и инженеринг""-80%",,,,Перв.РОК       1299002790025971           кв. от 16.09.10г.          ,,,,,Аннулирована. Протокол № 188-АН-11 29 августа 2011 года,,,,,,,,,,,
1505,1923-СР              04.07.08г.-             04.07.10г.       Бл.№00815,"Месторождение Ташкумыр, участок Сарыкамыш, Жалалабатская обл., Ноокенский р-н","ОсОО ""Курманбек""",,№1 до           15.12.08г.,"глиеж, уголь",Р,,,Протокол переговоров       №1079-Н-08 от 04.07.08г.    ,"г. Бишкек, ул. Киевская, 76. Директор Эргешов У.Э.",1.Мырсабеков А.-40%     2.Мырсабеков Т.-60%,,,,Перв.РОК       1299002790025971               кв.45068 от 11.07.08г.           ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1506,1924-АП     17.09.10г.-    31.12.15г.  Бл.№00348,Арчалы-Кумбельская площадь ,"ОсОО ""Рокизол""","Нарынскяа обл., Нарынский р-н",№3 от          17.09.10г. До 31.12.15г.,россыпное золото и вольфрам,П,48000,К-43-80,Протокол переговоров       №1078-Н-08 от 04.07.08г.    ,"г. Бишкек, ул. Киевская, 77 Директор                            Кимаковский А.И.",Кимаковский И.А.          (Россия),,,,Перв.РОК       1299002790025971    кв.44050 от 10.07.08г.           ,,,,,Аннулирована. Протокол № 188-АН-11 29 августа 2011 года,,,,,,,,,,,
1507,1925-ТЕ     09.07.08г.-    09.07.18г.  Бл.№00807,"Месторождение Западно-Чонджарское, Чуйская обл., Сокулукский р-н",Ч.П. Макешов Мурадил,,№1 до           31.03.09г.,суглинок (кирпичное сырье),Е,,,Протокол переговоров       №1080-Н-08 от 09.07.08г.    ,"Сокулукский р-н, с. Кунтуу, ул. Заводская, 5/1",,,,,Перв.РОК       1299002790025971   кв.3010 от 24.06.08г.            ,,,,,Аннулирована. Протокол № 146-АН-10  03.03.10г.,,,,,,,,,,,
1508,1926-СР     09.07.08г.-    09.07.10г.  Бл.№00806,"Участок Юго-Западный месторождения Кашкасу, Ошская обл.,          Карасуйский р-н",Ч.П. Тойчубеков Марат Камалович,,№1 до        31.12.08г.,бурый уголь,Р,,,Протокол переговоров       №1082-Н-08 от 09.07.08г.   ,"Карасуйский р-н, с. Кыргыз-Чек.",,,,,Перв.РОК       1299002790025971       кв.45028 от 10.07.08г.            ,,,,,Аннулирована. Протокол № 81-АН-09                       28.01.09г.,,,,,,,,,,,
1509,1927 СР от 11.07.08 г. до 13.12.19 г. Бланк №001906 измен от 04.06.20 до 04.02.23 г № 003191,"Месторождение ""Загара""","ОсОО ""Мега Коал""","Ошская область, Карасуйский р-н",№ 9 от 04.06.20 г. до 04.02.23 г.,уголь,Р,"65,9 га","К-43-135, J-43-3",Протокол переговоров       №1084-Н-08 от 11.07.08 г.,"Ошская область, Кара-Сууйский район, Отуз-Адырский а/а, с. Кыш-Абад",гр. КР Субанов Абжапар Султанкулович - 100%,,,,Перв. РОК 1299235030000515 кв 10100003 от 23.01.18 г.,ИНН 01008201810055,4429250  4429000  4430115  4430058  4430221  4430223  4430187  4430225  4429928  4428400  4428750,13345750  13346650  13348139  13348403  13348409  13348527  13348681  13348889  13348951  13346825  13345750  ,Кыргызстан,Аннулирована.протокол №13-Н-2023 от 22.02.2023г,,,,,,,,,,,
1510,1928-ТЕ             11.07.08г.-        11.07.13г.      Бл.№00809,"Участок Юго-Западный в пойме реки Сокулук,      Чуйская обл.,                              Сокулукский р-н","ОсОО ""КПЗ Компани""",,№1 до       31.03.09г.,песчано-гравийная смесь,Е,,,Протокол переговоров       №1085-Н-08 от 11.07.08г.    ,"г. Шопоков, ул. Шопокова, 7, кв.2. Ген.директор  Рыскулов А.А.",1.Рыскулов А.А.-50%          2.Шопоков Д.А.-50%,,,,Перв.РОК       1299002790025971        кв.3012 от 23.07.08г.          ,,,,,Аннулирована. Протокол № 95-АН-09        06.04.09г.,,,,,,,,,,,
1511,1929-ТЕ             11.07.08г.-        11.07.18г.      Бл.№00810,Месторождение Кировское-1,"КХ ""Барпыкул"""," Таласская обл., Карабуринский р-н",№1           31.12.08г.,суглинок (кирпичное сырье),Е,,,Протокол переговоров       №1086-Н-08 от 11.07.08г.    Продление от 17.06.10г. Протокол №114-Н-10,"Таласская обл.. Карабуринский           р-н,    с. Кызыладыр,                              ул. Колхозная, 54",,,,,Перв.РОК       1299002790025971           кв.3008 от 24.06.08г.            ,,,,,Аннулирована. Протокол № 167-АН-11 от 04.03.11г.,,,,,,,,,,,
1512,1930-ТР             11.07.08г.-        11.07.10г.      Бл.№00811,"Месторождение Тельманское, Ошская обл., Наукатский р-н","ОсОО ""Тыны-Шер""",,№1 до                     31.12.08г.,суглинок,Р,,,Протокол переговоров       №1087-Н-08 от 11.07.08г.    ,"г. Ош, ул. Закирова, 2. Учредитель                 Кармышаков И.Ш.",Кармышаков И.Ш.,,,,Перв.РОК       1299002790025971      кв.3052 от 21.07.08г.          ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1513,1931-ТР             11.07.08г.-        11.07.10г.      Бл.№00812,"Месторождение Джиль-Арык, Чуйская обл.. Кеминский р-н","ОсОО ""Чистый дом плюс""",,№1 до              31.12.08г.,известняк,Р,,,Протокол переговоров       №1088-Н-08 от 11.07.08г.    ,"г. Бишкек, пр. Чуй, 4а. Директор Маныев А.А.      т. 286392",Маныев А.А.,,,,Перв.РОК       1299002790025971            ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,,,,,,
1514,1932-ТР             11.07.08г.-        11.07.10г.      Бл.№00813,"Участок Темировка, Ысыккульская обл.. Ысыккульский р-н",Ч.П. Рыскелдиев Суйундук,,№1 до        31.12.08г.,суглинки,Р,,,Протокол переговоров       №1089-Н-08 от 11.07.08г.    ,"г. Чолпон-Ата, 3 мкр. Д.57, кв.5",,,,,Перв.РОК       1299002790025971        кв.44075 от 15.07.08г.           ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,,,,,,
1515,1934-СЕ              15.07.08г.-       15.07.10г.       Бл.№00831,"Участок Кожокелен-1 Левобережный месторождения Кожокелен, Ошская обл..          Карасуйский р-н",Ч.П. Туркбаева Гулжамал,,№1 до    31.03.09г.,бурый уголь,Е,,,Протокол переговоров       №1091-Н-08 от 15.07.08г.    ,"г. Ош, ул. Мамытова, 74",,,,,Перв.РОК       1299002790025971   кв.44118 от 15.07.08г.           ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1516,1935-ТР          15.07.08г.-            15.07.10г.           Бл.№00832,"Кызылджарская площадь, Жалалабадская обл.. Аксыйский р-н","ОсОО ""Ташкумыр-цемент""",,№1 до         31.12.08г.,известняк и глина,Р,,,Протокол переговоров       №1092-Н-08 от 15.07.08г.    ,"г. Ташкумыр, ул. Кызылджарская, б-н. Директор Юсупов Б.А.",1.Юсупов Б.А.-50%         2.Айдаров А.К.-50%,,,,Перв.РОК       1299002790025971  кв.5044 от 16.07.08г.           ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1517,1936 ТЕ пер. 18.07.2008г.от 29.03.2024г до 18.07.2028г бланк №000408,"Месторождение ""Кок-Жар""","ОсОО ""NEW TECK"" (Нью Тек)","Чуйская область, Аламудунский район",№ 8 от 29.03.2024г до 18.07.2028г ,суглинок,ЕР,3 га,К-43-42,Протокол переговоров №1094-Н-08 от 18.07.2008г  ,"КР. Чуйская обл.,Аламудунский р-н,с.Луговое,ул.Алма-Атинская,д.531",гр.КР Калыков Беделбек Абдурахманович-100%,,,, 1299065030000189 № 99700045 от 07.05.2014 г.,ИНН 00710200210011,13476797  13477137  13477162  13477000   13476800,4738412  4738482  4738402  4738343  4738350,Кыргызстан,ТЕ,Ражапов Б.Б.,"0700-554966, 777622562",Кара-Жыгачский а/а,,,,,,,,
1518,1937-СЕ    18.07.08г.- до завершения конкурса   Бл.№00824,"Участок Кукурт-Сай месторождения Кара-Кече, Нарынская обл.,  Жумгальский р-н","ОАО ""Разрез Ак-Улак""",,№1 до      завершения конкурса,бурый уголь,Е,,,Протокол переговоров       №    ,"Нарынская обл..                  Джумгальский р-н,                            п. Минкуш",,,,,Перв.РОК       1299002790025971  кв.№44007 от 17.07.08г.                      ,,,,,Аннулирована. Протокол №137-АН-09           22.12.09г.,,,,,,,,,,,
1519,1938 ТЕ от 18.07.2008 г.                 до 18.07.2023 г.   Бланк №00817,Месторождение Алмалинское,"ОсОО ""Супа"""," Чуйская обл, Ыссык-Атинский р-н",№ 2                  от 23.01.2009 г. до 18.07.2023 г.,суглинок (кирпичное сырье),ЕП,4 га,К-43-42,Протокол  №1095-Н-08 от 18.07.08 г.,"Чуйская область, Ыссык-Атинский р-н, с. Алмалуу",гр. КР Автандил Нурлан - 100%,,,,1299003400001680 № 44016      18.07.2008 г.,,4728735  4728785  4728425  4728380,13488800  13488890  13489075  13488985,Кыргызстан,Аннулирована, Автандил Нурлан ,нет,Ыссык-Атинский а/а,,,,,,,,
1520,1939-ТР  18.07.08г.-        18.07.10г.   Бл.№00867,"Месторождение Южное, Жалалабатская обл., Чаткальский р-н","ОсОО ""Коба""",,№1 до                31.03.09г.,волласто-нит,Р,,,Протокол переговоров       №    ,"Жалалабатская обл., г. Жалалабат, ул. Нефтяников, 3.  Директор Сатыбеков т.490375",Рахматулаев К.А.,,,,Перв.РОК       1299002790025971     кв.24118 от 21.07.08г.          ,,,,,Аннулирована. Протокол № 110-АН-09  05.06.09г.,,,,,,,,,,,
1521,1940 АР пер.18.07.08гот 29.06.2022г до 10.12.2024г бланк №000138,"""Кичисандыкская"" площадь","ОсОО ""ВИТЕП""","Джалал-Абадская область, Чаткальский район",№ 8 от 15.10.2024г до 10.12.2024г ,"золото, серебро, медь и висмут",РР,442 га,К-42-82,Протокол переговоров №1097-Н-08 от 18.07.2008г №8 Протокол №54-Н-2024 от 15.08.2024г ,"КР г. Бишкек, ул. Манаса, 157/1","гр. КР Рахманкулов Кубатбек Ташматович - 49%,и гр КНР Чжао Инань -51%",1242000270797161 ОКПО 25915404 от 06.12.2018г /код формы 0401060 от 11.07.2024г ,29400 сом /19200 сом ,,1351000111190135   №4944  04.07.2022г,ИНН 00407200810045,12662500  12664000  12664000  12662500,4646500  4646500  4643550  4643550,Кыргызстан/КНР,АР,Чжао Инань,"0778-969888,0703-961888",,,Бенефициары ,,,,,,
1522,1941-ТЕ      18.07.08г.-             18.07.28г.     Бл.№00834,"Месторождение Ивановское, уч.№2 (центральная часть)",Ч.П. Исмаилов Кубанычбек," Чуйская обл.,          Ысыкатинский р-н",5 - 18.07.28г.,строительный песок,Е,"2,7",,Протокол переговоров       №1098-Н-08 от 18.07.08г.    ,"г. Бишкек, 7 мкр. Д.56, кв.14",Ч.П. Исмаилов Кубанычбек,,,,Перв.РОК       1299002790025971     кв.44047 от 16.07.08г.           ,,,,Кыргызстан,Аннулирована. Протокол № 214-Н-17 от 26.04.17,,,,,,,,,,,
1523,1943-ТР  21.07.08г.-       21.07.10г.  Бл.№00836,"Западный фланг м-я Каиндинское,                            Таласская обл.,                                Манасский р-н",Ч.П. Осмонов Нурлан,,№1 до     31.12.08г.,гранодиориты,Р,,,Протокол переговоров       №1100-Н-08 от 21.07.08г.   ,"г. Бишкек, ж/м Кок-Жар, ул. Керемет, 33",,,,,Перв.РОК       1299002790025971           кв.45008 от 22.07.08г.          ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,,,,,,
1524,1944-ТЕ        21.07.08г.-         21.-7.28г.    Бл.№00837,"Участок розовых гранитов месторождения Каиндинское, Таласская обл.,  Манасский р-н",Ч.П. Берикбаев Жыргалбек,,№1 до          31.12.08г.,гранит,Е,,,Протокол переговоров       №1101-Н-08 от 21.07.08г.    ,"Аламудунский р-н, с. Аламудун, ул. Панфилова, 87",,,,,Перв.РОК       1299002790025971        кв.3066 от 22.07.08г.         ,,,,,Аннулирована. Протокол № 88-АН-09                26.02.09г.,,,,,,,,,,,
1525,1947-ТР      22.07.08г.-       22.07.10г.      Бл.№00850,"Участок Западный-1 месторождения Белек, Чуйская обл.,           Сокулукский р-н","ОсОО ""KEDAN LIMITED""",,№1 до    31.12.08г.,суглинок (кирпичное сырье),Р,,,Протокол переговоров       №1106-Н-08 от 22.07.08г.    ,"г. Бишкек, ж/м Кок-Жар, ул. Кок-Жар, 59. Ген. директор               Жумашев К.Н.",1.Исаков Д.Т.-50%                  2.Жумашев К.Н.-50%,,,,Перв.РОК       1299002790025971       кв.3020 от 18.07.08г.                          ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1526,1948-ТР         22.07.08г.-       22.07.10г. Бл.№00851,"Участок Барбулак, Ысыккульская обл.,               Тонский р-н","ОсОО ""ЭММ Интер Сервис""",,№1 до      31.12.08г.,суглинки (кирпичное сырье),Р,,,Протокол переговоров       №1107-Н-08 от 22.07.08г.    ,"г. Бишкек, 10 мкр.,20,кв.7. Ген.директор Алмазбек                       Уулу Бахтияр т.286898",Токтосопиев Э.К.,,,,Перв.РОК       1299002790025971           кв.3029 от 29.07.08г.           ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,,,,,,
1527,1949-АП       22.07.08г.-      22.07.10г. Бл.№00843,Северочонташская площадь ,"ОсОО ""Ат-Баши Майнинг""","Жалалабатская обл., Тогузтороуский р-н",№3 от               02.09.10г.  До 31.12.12 г.,"золото, свинец, серебро, медь ,цинк, олово, молибден, кобальт, и висмут",П,45000,"К-43-89,90,101,102",Протокол переговоров       №1108-Н-08 от 22.07.08г.    ,"г. Бишкек, ул. Чокморова, д.127. Исп.Директор                        Шамгунов К.Ш.","Компания ""Kyrex Limited""",,,,Перв.РОК       1299002790025971                      кв.№      от 24.07.08г.            ,,,,,Аннулирована. Протокол № 186-АН-11 11 августа 2011 года,,,,,,,,,,,
1528,1950-ТЕ        22.07.08г.-      22.07.18г.         Бл.№00843,Северо-Западная часть месторождения Сары-Таш,"ОсОО ""Жазы курулуш материалдары"""," Ошская обл., Узгенский р-н",№1 до         31.03.08г.,известняк-ракушеч-ник,Е,,,Протокол переговоров       №1109-Н-08 от 22.07.08г.    ,"Ошская обл., Узгенский р-н, с. Жээренчи. Директор                     Абдираимов У.",,,,,Перв.РОК       1299002790025971      кв.3001 от 23.05.08г.          ,,,,,Аннулирована. Протокол № 159-АН-10    от  07 октября  2010 года,,,,,,,,,,,
1529,1951-СЕ    23.07.08г.-   31.12.28г.            Бл.№00845,"Участок Тегене-Шахтный месторождения Тегене, Жалалабатская обл., Аксыйский р-н","ОсОО ""E.P.I.CO LTD""",,№1 до             31.07.09г.,уголь,Е,,,Протокол переговоров       №    ,"г. Бишкек, ул. М. Гвардия, 13-12. Вице президент                         Ким Венг Хен",1.Акенеев Ж.А.-49%           2.Ан Кюнг Санг-51% (Корея),,,,Перв.РОК       1299002790025971       кв.3048 от 21.07.08г.           ,,,,,Аннулирована. Протокол № 117-АН-09 03.08.09гг.,,,,,,,,,,,
1530,1952-НП       23.07.08г.-            23.07.10г.          Бл.№00844,"Катранская площадь, Баткенскяа обл., Кадамжайский р-н","ОсОО ""Среднеазиат-ская нефтегазовая компания""",,№1 до        31.03.09г.,нефть и газ,П,,,Протокол переговоров       №1110-Н-08 от 23.07.08г.    ,"г. Бишкек, ул. Медерова, 46-2. Директор Лан Цзюн",Лан Цзюн (КНР),,,,Перв.РОК       1299002790025971    кв.10145 от 18.07.08г.           ,,,,,Аннулирована. Протокол № 158-АН-10 от 14.09.10г.,,,,,,,,,,,
1531,1953-МР    23.07.08г.-       23.07.10г.      Бл.№00846,"Гавайская площадь, Жалалабатская обл., Алабукинский р-н","ОсОО ""Trenl Resources LTD""",,№1 до          31.03.09г.,железо,Р,,,Протокол переговоров       №1111-Н-08 от 23.07.08г.    ,"г. Бишкек, ул. Гражданская, д.43. Директор Сю Дэчунь",Сю Дэчунь,,,,Перв.РОК       1299002790025971  кв.3054 от 21.07.08г.           ,,,,,Аннулирована. Протокол № 104-АН-09          22.05.09г.,,,,,,,,,,,
1532,1954-МР     23.07.08г.-      23.07.10г.          Бл.№00847,"Надирская площадь, Баткенская обл.. Кадамжайская р-н","ОсОО ""Trenl Resources LTD""",,№1 до            31.03.09г.,железо,Р,,,Протокол переговоров       №1111-Н-08 от 23.07.08г.    ,"г. Бишкек, ул. Гражданская, д.43. Директор Сю Дэчунь",Сю Дэчунь,,,,Перв.РОК       1299002790025971  кв.3056 от 21.07.08г.           ,,,,,Аннулирована. Протокол № 104-АН-09          22.05.09г.,,,,,,,,,,,
1533,1955 АР 24.07.08 г. до  31.12.18 г. Бланк №02193,Куранджайляуская площадь,"ЗАО ""ТК Гео Ресурс""","Чуйская обл., Кеминский р-н",№ 10 от 14.12.16 г. до 31.12.18 г.,"золото, серебро, свинец и цинк",Р,"468,1 га ",К-43-56,Протокол переговоров №1112-Н-08 от 24.07.08 г.    ,"г. Бишкек, ул. Юдахина 70 А","Компания ""Boratero Trading Limited"" - 100% (Кипр)",,,,Перв. РОК 1299002790025971 кв 3023 от 24.07.08 г.,ИНН 02204200810063,13543650  13545000  13545000  13542500  13542500  13543650,4721000  4721000  4719000  4719000  4720850  4720850,,Аннулирована. Протокол № 31-Н-19 от 31.07.19 г.,,,,,,Выемка ,,,,,
1534,1956-СЕ       16.07.08г. до завершения конкурса  Бл.№00823,"Участок Центральный месторождения Кара-Кече, Нарынская обл.. Жумгальский р-н","ОсОО ""Беш-Сары К""",,№1 до                       завершения конкурса,бурый уголь,Е,,,Протокол переговоров       №1081-Н-08 от 16.07.08г.   ,"Жумгальский р-н, с. Чаек, ул. Разрез Кара-Кече.               Ген.директор Сариев А.Ж.",Жолдошев К.,,,,Перв.РОК       1299002790025971         кв.45122 от 15.07.08г.          ,,,,,Аннулирована. Протокол № 150-АН-10         24.05.10г.,,,,,,,,,,,
1535,1957-АР   24.07.08г.-     24.07.10г.     Бл.№00856,"Кызылташская площадь, Жалалабатская обл.. Алабукинский р-н","ОсОО ""KYZYLTASH""",,№1 до              31.03.09г.,"золото, медь и молибден",Р,,,Протокол переговоров       №1113-Н-08 от 24.07.08г.   ,"г. Бишкек, ул. Орозбекова, д.21, кв.6. Ген.директор                          Хегай В.Г.","1.ОсОО ""NECAS RND Co LTD""-51%                   2.КМЭГЭИ-49%",,,,Перв.РОК       1299002790025971   кв.44001 от 18.07.08г.          ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1536,1958-АП  28.07.08г.-        28.07.10г.       Бл.№00858,"Кульчукская площадь, Ысыккульская, Нарынская области.","ОсОО Бурмаш Проект""",,№1 до              31.03.09г.,рудное и россыпное золото,П,,,Протокол переговоров       №1116-Н-08 от 28.07.08г.    ,"г. Бишкек, ул. Матыева, 152.                      Исп. Директор                              Москальченко М.Н.",1.Тоо Бурмаш (Каз.Респ.)            2.Сатаров М.Ф.-75%,,,,Перв.РОК       1299002790025971       кв.№3017 от 18.07.08г.           ,,,,,Аннулирована. Протокол № 98-АН-09                     20.04.09г.,,,,,,,,,,,
1537,1959 ТЕ                                от 28.07.2008 г.           до 28.07.2028 г. Бланк №00853,Северная часть месторождения Кыртавылга,"ОсОО ""FORESIGHT invostmtnt""","Чуйская область, Кеминский   р-н",№ 4 от 21.06.2010 г. до 28.07.2028 г.,гранит,ЕП,"4,6 га",К-43-44,Протокол   №1117-Н-08 от 28.07.08 г.    ,"г. Бишкек, ул. Шукурова 95","ОсОО ""FORESIGHT GROUP""",,,"ОАО Элдик Банк р/счет 1290533140029932 от 09.10.2025г пополнение на 100 000,00 сом", 1299002790025971 кв 3009                          от 05.08.2008 г.,,4742200  4742290  4742330  4742290  4742090,13575730  13575830  13575920  13576080  13575900,Кипр,ТЕ,"ОсОО ""FORESIGHT GROUP""",312 606272; 312 906273; 312 906274,Кичи-Кеминский а/а,,,,,,,,
1538,1961 АП от 23.06.10 г. до 08.04.20 г. Бланк №002117,Кавайская площадь,"ОсОО ""Castle"" (Касл)"," Баткенская обл., Кадамжайский р-н",№ 6 от 13.05.19 г. до 08.04.20 г.,золото,П,3200 га,J-42-12,Протокол переговоров №114-Н-10 от 17.06.10 г.    ,"г. Бишкек, пр. Манаса 101-1",,,,,РСК банк 1290535000003215 кв 202300007 от 14.05.19 г.,ИНН 00205200810251,12722000  12730000  12730000  12722000,4428000  4428000  4424000  4424000,Кыргызстан,Аннулирована. Протокол № 08-Н-20 от 13.03.20г ,,,,,,,,,,,
1539,              1962-ТЕ     22.10.08г.-     28.07.28г.         Бл.№00995,"Участок №2 Джиль-Арыкского месторождения, Чуйская обл.. Кеминский р-н","ГП НК ""Кыргыз темир жолу""",,№2 до                      31.01.09г.,граносие-нит,Е,,,Протокол переговоров       №1230-Н-08 от 22.10.08г.    ,"г. Бишкек, ул. Л. Толстого, 83. Начальник Джуманазаров О.К.      т. 648303",,,,,Перв.РОК       1299002790025971            кв.44058 от 04.11.08г.            ,,,,,Аннулирована. Протокол № 146-АН-10  03.03.10г.,,,,,,,,,,,
1540,1963-СР  28.07.08г.-        28.07.10г.       Бл.№00862 продление 10.05.12-31.12.13г. Продление срока от 06.02.14 до 31.12.15 Бл.№00778,Месторождение Туюк-Каргаша,"ОАО ""Горнодобывающая компания ""Байдамар"""," Ошская обл., Узгенский р-н",№ 5 06.02.14г.- 31.12.15г.,уголь,Р,"8000,00","К-43-100,112",Протокол переговоров       №1121-Н-08 от 28.07.08г.    ,"г. Бишкек, ул. Радищева, 20 А",ед. акционер гр. Австралии Лим Ричард Кок Анн,,,,Перв.РОК       1299205031805167   кв.2001070 от 13.02.14г.          ,,,,Кыргызстан,Аннулирована. Протокол № 216-Н-15 от01.04.15 г,,,,,,,,,,,
1541,1964 ТЕ                         от 28.07.2008 г.           до 28.07.2028 г.      Бланк №00921,"Восточный фланг месторождения Ыссык-Атинское (подсчетный блок 29-С1, 23-С1)","ОсОО ""ЗОЛОТАЯ ПЕЧАТЬ"""," Чуйская обл, Ыссык-Атинский район",№ 9 от 16.07.2019 г. до 28.07.2028 г.,ПГС,ЕР,10 га,К-43-42,Протокол   №11-Н-19 от 27.03.2019 г.  ,"Чуйская обл., Ыссык-Атинский район, с. Красная речка, ул. Панфилова 94",гр. КР Афраилов Маттиали Изахарович - 100%,,,,Перв. РОК 1299002790025971 кв 3017 от 25.07.08 г.          ,ИНН 02810200510169,17 точек,17 точек,Кыргызстан,ТЕ,Афраилов М.И.,557 741 210,Интернационал а/а,,,,,,,,
1542,1965-ТР     29.07.08г.-           29.07.10г.         Бл.№00868,"Южная часть месторождения Ивановское, Чуйская обл.,              Ысыкатинский р-н","ОсОО ""АТS Group""",,№1 до            31.12.08г.,строитель ный песок,Р,,,Протокол переговоров       №1125-Н-08 от 29.07.08г.    ,"Чуйская обл., Ысыкатинский р-н, ст. Ивановка, ул. М.Гвардии, 32. Директор Мурсалиев Т.С. т.451073",1.Мусаева А.-30%                  2.Токтосун-30%                     3.Омуров С.-30%                       4.Мурсалиев Т.-10%,,,,Перв.РОК       1299002790025971       кв.3020 от 06.08.08г.            ,,,,,Аннулирована. Протокол № 99-АН-09                               20.04.09г.,,,,,,,,,,,
1543,1966-ТЕ       29.07.08г.-        29.07.18г.    Бл.№00869,"Месторождение Кызыл-Октябрь, Чуйская обл., Кеминский р-н",Ч.П. Бакасова Эльмира,,№1 до    31.12.08г.,суглинки (кирпичное сырье),Е,,,Протокол переговоров       №1124-Н-08 от 29.07.08г.    ,"Кеминский р-н, с. Жаны-Алыш, ул. Абдысатарова, 34",,,,,Перв.РОК       1299002790025971  кв.3015 от 30.07.08г.           ,,,,,Аннулирована. Протокол № 95-АН-09        06.04.09г.,,,,,,,,,,,
1544,1967-ТР      29.07.08г.-   29.07.10г.     Бл.№00870,"Участок Сары-Булак, Нарынская обл.,             Кочкорский р-н",Ч.П. Сурабаев  Мирлан,,№1 до       31.12.08г.,суглинки,Р,,,Протокол переговоров       №1125-Н-08 от 29.07.08г.    ,"Кочкорский р-н, с. Сары-Булак",,,,,Перв.РОК       1299002790025971      кв.3027 от 29.07.08г.         ,,,,,Аннулирована.,,,,,,,,,,,
1545,1968-ТР  29.07.08г.-                 29.07.10г. Бл.№00871,"Чонджарская площадь,        Чуйская обл.,         Сокулукский р-н",Ч.П. Малофеев Владимир Николаевич,,№1 до     31.12.08г.,суглинки,Р,,,Протокол переговоров       №1126-Н-08 от 29.07.08г.    ,"г. Бишкек, пер. Краснофлотский, д.4, кв.2",,,,,Перв.РОК       1299002790025971      кв.3059 от 08.08.08г.         ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,Выемка ,,,,,
1546,1969-ТР  29.07.08г.-                 29.07.10г. Бл.№00872,"Участок Нижняя Водохранилища, Чуйская обл., Аламудунский р-н","ОсОО ""Чон-Жар""",,№1 до        31.12.08г.,суглинки,Р,,,Протокол переговоров       №1127-Н-08 от 29.07.08г.    ,"г. Бишкек,  ул. Суюмбаева, 14.Дир. Мамбеткалиев Щ.              т. 680215",1.Ван Дзин (КНР)-19%         2.Граждане КР -81%,,,,Перв.РОК       1299002790025971              кв.44005от31.07.08г.          ,,,,,Аннулирована. Протокол № 83-АН-09                            28.01.09г.,,,,,,,,,,,
1547,1970-АП  29.07.08г.-                 29.07.10г. Бл.№00860,"Сарымундузская площадь,  Нарынская обл.,  Жумгальский р-н","ОсОО ""Мертон""",,№1 до                31.03.09г.,"золото, молибден и свинец",П,,,Протокол переговоров       №    ,"г. Бишкек, ул. Айтматова, д.67. Директор Байтереков К.М. т. 273302",Байтереков К.М.,,,,Перв.РОК       1299002790025971       кв.№3006 от 28.07.08г.            ,,,,,Аннулирована. Протокол № 156-АН-10  от 25.08.10г.,,,,,,,,,,,
